Structural coupling rotation pipeline run log
started_at: 2026-03-23T17:27:34.723304
project_root: C:\Users\mincu\Desktop\topological_gravity_project
data_dir: C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized
output_root: C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_structural_coupling
run_dir: C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_structural_coupling\2026-03-23_172734_local_structural_coupling_v4
beta_mode: local_structural_coupling_v4
beta_value: 200.0
n_input_files: 175
------------------------------------------------------------------------
[112/175] [OK] UGC03546 | beta_mean=77.7503 | eta_mean=0.405402 | ratio_max=0.428712 | sigma_flip=1488.07 | rmse=50.8896 | mafe=0.215759
[113/175] [OK] UGC03580 | beta_mean=76.266 | eta_mean=0.458765 | ratio_max=0.598133 | sigma_flip=2297.27 | rmse=39.8973 | mafe=0.328865
[114/175] [OK] UGC04278 | beta_mean=84.6752 | eta_mean=0.427019 | ratio_max=0.590846 | sigma_flip=74.5595 | rmse=28.2331 | mafe=0.384196
[115/175] [OK] UGC04305 | beta_mean=77.929 | eta_mean=0.413161 | ratio_max=0.597122 | sigma_flip=89.4249 | rmse=6.50222 | mafe=0.253862
[116/175] [OK] UGC04325 | beta_mean=96.5868 | eta_mean=0.47768 | ratio_max=0.622087 | sigma_flip=63.0391 | rmse=42.9798 | mafe=0.492126
[117/175] [OK] UGC04483 | beta_mean=75.6356 | eta_mean=0.451146 | ratio_max=0.572215 | sigma_flip=176.871 | rmse=9.97129 | mafe=0.372473
[118/175] [OK] UGC04499 | beta_mean=74.2832 | eta_mean=0.455526 | ratio_max=0.553616 | sigma_flip=16.1148 | rmse=32.8759 | mafe=0.455482
[119/175] [OK] UGC05005 | beta_mean=69.4142 | eta_mean=0.453266 | ratio_max=0.436954 | sigma_flip=10.9191 | rmse=40.3886 | mafe=0.404869
[120/175] [OK] UGC05253 | beta_mean=75.6134 | eta_mean=0.463662 | ratio_max=0.509092 | sigma_flip=4972.4 | rmse=53.4481 | mafe=0.194621
[121/175] [OK] UGC05414 | beta_mean=79.586 | eta_mean=0.455872 | ratio_max=0.550308 | sigma_flip=55.3641 | rmse=19.3516 | mafe=0.278086
[122/175] [OK] UGC05716 | beta_mean=80.0784 | eta_mean=0.448193 | ratio_max=0.581162 | sigma_flip=4.78138 | rmse=42.8288 | mafe=0.63571
