galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,h_i_kpc,Dw_i,v_vis_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,r_min_gal_kpc,r_scale,L_static,delta_sigma_i,beta_i,rho_struct_i,M_struct_i,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_segment_kms,source_file
NGC4157,3,15.68,20.9,18.29,0.35,2.0036390030356626,173.7702629094548,182.5,6.699999999999999,4,29.61,1.74,2.8342270288870623,0.3528298861762947,0.0027930583658104524,0.9921150887777622,3.982914732318598,11.934065042918734,1.534339071048681e-07,0.0016752033192863598,173.77026291752958,NGC4157_segment_structure_v8.csv
NGC4157,4,22.65,29.61,26.13,0.35,2.002390665187569,143.6010859755771,185.2,10.84,5,29.61,1.74,2.8342270288870623,0.3528298861762947,0.001248337848093417,0.9964681787345174,3.9954072971744456,15.929472340093179,1.0034203981158436e-07,0.001619239790851466,143.60108598470634,NGC4157_segment_structure_v8.csv
NGC4183,1,0.87,4.37,2.62,0.35,2.0383946333058724,55.05702458827953,74.28,6.24,5,21.02,0.87,3.1847364327823127,0.31399772668985365,0.0,1.0,4.155052681090182,4.155052681090182,2.6033604723832482e-06,0.0026116669844457796,55.05702465022262,NGC4183_segment_structure_v8.csv
NGC4183,2,5.24,7.85,6.545,0.35,2.012459110845105,78.4315719271537,105.075,5.2,4,21.02,0.87,3.1847364327823127,0.31399772668985365,0.02593552246076758,0.9207213838780501,3.7289139376966047,7.883966618786786,7.915636268019611e-07,0.0022761335499963168,78.43157196018112,NGC4183_segment_structure_v8.csv
NGC4183,3,8.72,12.31,10.515,0.35,2.0070335287288557,83.77962206637491,112.2,5.72,5,21.02,0.87,3.1847364327823127,0.31399772668985365,0.005425582116249217,0.9828693776131041,3.959178293534506,11.843144912321293,4.606900622221115e-07,0.002200944343745544,83.77962209528502,NGC4183_segment_structure_v8.csv
NGC4183,4,13.12,16.03,14.575,0.35,2.0047632351547047,72.17567239808223,109.25,4.925,4,21.02,0.87,3.1847364327823127,0.31399772668985365,0.0022702935741509833,0.9927957889812422,3.9901213600960936,15.833266272417386,3.20563257975175e-07,0.002161529431904219,72.17567243044915,NGC4183_segment_structure_v8.csv
NGC4183,5,16.95,21.02,18.985,0.35,2.003482065492554,64.2317986909034,110.8,7.359999999999999,5,21.02,0.87,3.1847364327823127,0.31399772668985365,0.0012811696621506385,0.9959281249566299,3.9975961230639268,19.83086239548131,2.366359657693789e-07,0.0021195598151813643,64.23179872587465,NGC4183_segment_structure_v8.csv
NGC4389,1,0.87,5.32,3.095,0.35000000000000003,2.0312133903734235,129.41212209049402,73.10000000000001,6.583333333333333,6,5.32,0.87,1.8107353706870606,0.5522618137296135,0.0,1.0,4.125827837232298,4.125827837232298,1.8524655905408699e-06,0.0023944479536469345,129.41212211264565,NGC4389_segment_structure_v8.csv
NGC5907,1,5.03,15.1,10.065,0.35,2.007412319214639,214.54029707471642,226.8,4.4,5,50.33,5.03,2.3031813366766207,0.4341820524835234,0.0,1.0,4.029704219334696,4.029704219334696,1.71082649060084e-07,0.001312229729426119,214.54029707872954,NGC5907_segment_structure_v8.csv
NGC5907,2,17.61,25.16,21.384999999999998,0.35,2.003025776546799,208.05811317104434,228.0,4.5,4,50.33,5.03,2.3031813366766207,0.4341820524835234,0.004386542667840221,0.9899478606949438,3.9717819501506755,8.001486169485371,7.525103964794172e-08,0.0012685596095064803,208.05811317491163,NGC5907_segment_structure_v8.csv
