galaxy,source_file,beta_mode,beta,a_newton_source,rmse_kmps,mean_absolute_fractional_error,chi2,n_points,status
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6195_normalized.csv,structural,6786.696482982172,computed_from_baryonic_velocity,243.61471362261273,0.9999999856331485,42343.60879241537,23,ok
NGC6503,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6503_normalized.csv,structural,455.9168646864688,computed_from_baryonic_velocity,300.2462644140683,1.7459691179748302,242575.4332128221,31,ok
NGC6674,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6674_normalized.csv,structural,796.4537696614237,computed_from_baryonic_velocity,216.09635260295437,0.8264283960426835,88860.56090772989,15,ok
NGC6789,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6789_normalized.csv,structural,950.1695608947805,computed_from_baryonic_velocity,916.8184105036798,36.65925243994801,225407.90509324864,4,ok
NGC6946,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6946_normalized.csv,structural,3224.3933654391203,computed_from_baryonic_velocity,163.94411063985578,0.9999999816203179,232726.7767035502,58,ok
NGC7331,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC7331_normalized.csv,structural,3822.9825423705015,computed_from_baryonic_velocity,241.99672462000365,0.9999999832263798,133237.83966491433,36,ok
NGC7793,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC7793_normalized.csv,structural,4123.389404761905,computed_from_baryonic_velocity,302.25171861555253,2.07945679631079,175117.81917921788,46,ok
NGC7814,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC7814_normalized.csv,structural,3341.8771299975288,computed_from_baryonic_velocity,225.01913205529146,0.999999986370756,53322.91237060719,18,ok
PGC51017,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\PGC51017_normalized.csv,structural,275.5621774891775,computed_from_baryonic_velocity,70.99994814165372,2.204834514689139,2161.791192186967,6,ok
UGC00128,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC00128_normalized.csv,structural,148.5613000584862,computed_from_baryonic_velocity,78.432321064792,0.676758153903164,135021.64039411987,22,ok
UGC00191,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC00191_normalized.csv,structural,771.8001612903225,computed_from_baryonic_velocity,278.0518489167096,4.755219079403269,295723.3601324852,9,ok
UGC00634,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC00634_normalized.csv,structural,250.42917462380393,computed_from_baryonic_velocity,96.99304087262139,0.9999999663297646,17922.994042734215,4,ok
UGC00731,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC00731_normalized.csv,structural,111.98871959015825,computed_from_baryonic_velocity,38.61200243881439,0.5103108851809484,1962.9457576744342,12,ok
UGC00891,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC00891_normalized.csv,structural,198.90516853932587,computed_from_baryonic_velocity,51.19342032408028,0.999999957669749,27775.547846848694,5,ok
UGC01230,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC01230_normalized.csv,structural,394.7866162790698,computed_from_baryonic_velocity,105.00162913441834,1.6259618310468098,973.3805803677064,11,ok
UGC01281,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC01281_normalized.csv,structural,220.0106,computed_from_baryonic_velocity,89.93347122032121,3.1220641410669536,10578.647346046639,25,ok
UGC02023,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC02023_normalized.csv,structural,520.4113531353136,computed_from_baryonic_velocity,221.58586157572327,7.9401816633404305,3250.9818469343363,5,ok
UGC02259,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC02259_normalized.csv,structural,462.5418891887065,computed_from_baryonic_velocity,87.06970534485586,1.1173447730996253,16299.766633711977,8,ok
UGC02455,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC02455_normalized.csv,structural,2700.505703032457,computed_from_baryonic_velocity,878.7989107877582,23.229933269254694,466300.8849183373,8,ok
UGC02487,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC02487_normalized.csv,structural,1511.1649415277432,computed_from_baryonic_velocity,331.0672519742239,0.9083395210852099,146712.76148202494,17,ok
UGC02885,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC02885_normalized.csv,structural,1328.7440595329742,computed_from_baryonic_velocity,245.49706299623983,0.8447531395854617,11451.073508558151,19,ok
UGC02916,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC02916_normalized.csv,structural,7102.860771312585,computed_from_baryonic_velocity,2052.3341691263972,3.094479710764948,364313.4330635765,43,ok
UGC02953,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC02953_normalized.csv,structural,17291.12234303216,computed_from_baryonic_velocity,14839.499926463175,10.453342957784496,23598832.539096817,115,ok
UGC03205,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC03205_normalized.csv,structural,6876.622935190673,computed_from_baryonic_velocity,2252.5680766320625,4.759194068495346,532262.5210320062,48,ok
UGC03546,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC03546_normalized.csv,structural,14061.066894484411,computed_from_baryonic_velocity,212.8254345804407,0.9999999871056949,344286.6273883787,30,ok
UGC03580,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC03580_normalized.csv,structural,5067.5679272727275,computed_from_baryonic_velocity,3264.335012980216,12.12060147625461,848187.9837030558,47,ok
UGC04278,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC04278_normalized.csv,structural,345.89316614420056,computed_from_baryonic_velocity,176.1538368188814,6.570833965236644,30918.892953771818,25,ok
UGC04305,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC04305_normalized.csv,structural,448.5513031943025,computed_from_baryonic_velocity,226.79041695236884,14.148885750130479,83201.09418597788,22,ok
UGC04325,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC04325_normalized.csv,structural,762.6720466246164,computed_from_baryonic_velocity,192.80582336493757,2.5339514305735142,31836.786348443144,8,ok
