r_kpc,v_obs_kmps,v_err_kmps,v_baryon_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,a_struct,a_total
1.2,236.0,10.2,291.33006350186383,0.0,70727.67158333334,-38108.77886025549,61.065337921194846,2.2210016538950774,0.493001070167403,-256403.6605485944,-185675.98896526106
1.29,237.0,10.6,295.05003440094697,0.0,67484.12620155039,-34736.125140901735,61.91821775469276,2.2248477612198543,0.49548972784814094,-238780.975739226,-171296.84953767562
1.38,238.0,14.2,298.28800394920347,0.0,64475.169057971034,-32791.801991392334,63.0532161970182,2.2310121445927797,0.4994784465012104,-225385.9452146042,-160910.77615663316
1.46,238.0,14.1,300.6458032303128,0.0,61909.519863013695,-31318.162200588624,64.4020418505623,2.2388940616886694,0.5045785105044331,-216063.904259758,-154154.3843967443
1.55,239.0,19.6,302.7939502367905,0.0,59151.08148387096,-29865.37162292423,65.92708449243207,2.248194591444746,0.5105965003466002,-206764.49987673768,-147613.41839286673
1.63,240.0,17.8,304.3629788591247,0.0,56832.40668711658,-28208.17733330393,67.48787699393414,2.25788979002533,0.5168698641340371,-199364.91321273387,-142532.5065256173
1.72,241.0,7.14,305.76427047645706,0.0,54355.6913372093,-26683.8135189864,68.97711152603969,2.26656942410769,0.5224860979520346,-191237.284896434,-136881.59355922468
1.8,242.0,11.9,306.8111554360434,0.0,52296.158388888885,-25004.957445768945,70.30667909224584,2.274142462101077,0.5273862990065791,-184051.8224190799,-131755.66403019102
1.89,243.0,10.9,307.73066762999105,0.0,50104.84857142858,-23561.687457912405,71.39527000759522,2.279753013032787,0.5310166554918034,-175970.2244192,-125865.37584777143
1.98,244.0,17.6,308.462328656191,0.0,48055.054646464654,-21953.410743041248,72.17747962933494,2.2839495648669037,0.5337320713844671,-167387.46713907167,-119332.41249260702
