galaxy_id,filename,filepath,catalog_prefix,catalog_number,name_normalized,row_count,source_expected
UGC09992,UGC09992.csv,data/derived/sparc/UGC09992.csv,UGC,09992,UGC09992,5,SPARC
UGC10310,UGC10310.csv,data/derived/sparc/UGC10310.csv,UGC,10310,UGC10310,7,SPARC
UGC11455,UGC11455.csv,data/derived/sparc/UGC11455.csv,UGC,11455,UGC11455,36,SPARC
UGC11557,UGC11557.csv,data/derived/sparc/UGC11557.csv,UGC,11557,UGC11557,12,SPARC
UGC11820,UGC11820.csv,data/derived/sparc/UGC11820.csv,UGC,11820,UGC11820,10,SPARC
UGC11914,UGC11914.csv,data/derived/sparc/UGC11914.csv,UGC,11914,UGC11914,65,SPARC
UGC12506,UGC12506.csv,data/derived/sparc/UGC12506.csv,UGC,12506,UGC12506,31,SPARC
UGC12632,UGC12632.csv,data/derived/sparc/UGC12632.csv,UGC,12632,UGC12632,15,SPARC
UGC12732,UGC12732.csv,data/derived/sparc/UGC12732.csv,UGC,12732,UGC12732,16,SPARC
UGCA281,UGCA281.csv,data/derived/sparc/UGCA281.csv,UGC,281,UGCA281,7,SPARC
UGCA442,UGCA442.csv,data/derived/sparc/UGCA442.csv,UGC,442,UGCA442,8,SPARC
UGCA444,UGCA444.csv,data/derived/sparc/UGCA444.csv,UGC,444,UGCA444,36,SPARC
